#Wavelength (Angstroms)	fnu ergs/s/cm^2/Hz
#redshifted
4164	3.6501374048424e-28
4165.5	3.60855299335024e-28
4167	3.56690583076598e-28
4168.5	3.52519588268904e-28
4170	3.48342311471883e-28
4171.5	3.44158749245478e-28
4173	3.39968898149627e-28
4174.5	3.35772754744273e-28
4176	3.31570315589358e-28
4177.5	3.27361577244823e-28
4179	3.23146536270608e-28
4180.5	3.18925189226656e-28
4182	3.14697532672908e-28
4183.5	3.10463563169304e-28
4185	3.06223277275787e-28
4186.5	3.06074818987648e-28
4188	3.05925911856718e-28
4189.5	3.05776555599536e-28
4191	3.05626749932642e-28
4192.5	3.05476494572571e-28
4194	3.05325789235865e-28
4195.5	3.0517463363906e-28
4197	3.05023027498696e-28
4198.5	3.0487097053131e-28
4200	3.04718462453441e-28
4201.5	3.04565502981629e-28
4203	3.0441209183241e-28
4204.5	3.04258228722324e-28
4206	3.04103913367908e-28
4207.5	3.03949145485703e-28
4209	3.03793924792245e-28
4210.5	3.03638251004073e-28
4212	3.03482123837725e-28
4213.5	3.03325543009742e-28
4215	3.03168508236659e-28
4216.5	3.06658677852215e-28
4218	3.10153584428444e-28
4219.5	3.13653230451655e-28
4221	3.17157618408155e-28
4222.5	3.20666750784254e-28
4224	3.2418063006626e-28
4225.5	3.27699258740483e-28
4227	3.31222639293231e-28
4228.5	3.34750774210811e-28
4230	3.38283665979534e-28
4231.5	3.41821317085708e-28
4233	3.45363730015642e-28
4234.5	3.48910907255644e-28
4236	3.52462851292022e-28
4237.5	3.56019564611087e-28
4239	3.59581049699146e-28
4240.5	3.63147309042507e-28
4242	3.6671834512748e-28
4243.5	3.70294160440374e-28
4245	3.73874757467496e-28
4246.5	3.73673827114426e-28
4248	3.73472332716581e-28
4249.5	3.73270273925697e-28
4251	3.73067650393508e-28
4252.5	3.72864461771748e-28
4254	3.72660707712151e-28
4255.5	3.72456387866452e-28
4257	3.72251501886385e-28
4258.5	3.72046049423685e-28
4260	3.71840030130085e-28
4261.5	3.71633443657321e-28
4263	3.71426289657125e-28
4264.5	3.71218567781233e-28
4266	3.71010277681378e-28
4267.5	3.70801419009295e-28
4269	3.70591991416719e-28
4270.5	3.70381994555383e-28
4272	3.70171428077021e-28
4273.5	3.69960291633369e-28
4275	3.69748584876161e-28
4276.5	3.70415353662493e-28
4278	3.71082784971351e-28
4279.5	3.71750879103354e-28
4281	3.72419636359123e-28
4282.5	3.73089057039278e-28
4284	3.7375914144444e-28
4285.5	3.74429889875229e-28
4287	3.75101302632265e-28
4288.5	3.7577338001617e-28
4290	3.76446122327563e-28
4291.5	3.77119529867065e-28
4293	3.77793602935297e-28
4294.5	3.78468341832878e-28
4296	3.7914374686043e-28
4297.5	3.79819818318572e-28
4299	3.80496556507925e-28
4300.5	3.8117396172911e-28
4302	3.81852034282748e-28
4303.5	3.82530774469458e-28
4305	3.83210182589861e-28
4306.5	3.83932916509038e-28
4308	3.84656378405843e-28
4309.5	3.85380568611948e-28
4311	3.86105487459024e-28
4312.5	3.86831135278743e-28
4314	3.87557512402778e-28
4315.5	3.88284619162799e-28
4317	3.89012455890479e-28
4318.5	3.8974102291749e-28
4320	3.90470320575503e-28
4321.5	3.9120034919619e-28
4323	3.91931109111223e-28
4324.5	3.92662600652274e-28
4326	3.93394824151015e-28
4327.5	3.93718203798184e-28
4329	3.94041748098103e-28
4330.5	3.9436545708719e-28
4332	3.94689330801865e-28
4333.5	3.95013369278546e-28
4335	3.95337572553651e-28
4336.5	3.95661940663601e-28
4338	3.95986473644814e-28
4339.5	3.96311171533708e-28
4341	3.96636034366703e-28
4342.5	3.9598142394759e-28
4344	3.95325624752769e-28
4345.5	3.94668636117334e-28
4347	3.94010457376377e-28
4348.5	3.93351087864991e-28
4350	3.92690526918271e-28
4351.5	3.92028773871307e-28
4353	3.91365828059194e-28
4354.5	3.90701688817025e-28
4356	3.90036355479893e-28
4357.5	3.89369827382889e-28
4359	3.88702103861109e-28
4360.5	3.88033184249644e-28
4362	3.87363067883588e-28
4363.5	3.86691754098033e-28
4365	3.86019242228074e-28
4366.5	3.85064609551548e-28
4368	3.84108391379994e-28
4369.5	3.83150586849596e-28
4371	3.82191195096539e-28
4372.5	3.81230215257007e-28
4374	3.80267646467187e-28
4375.5	3.79303487863262e-28
4377	3.78337738581417e-28
4378.5	3.77370397757837e-28
4380	3.76401464528708e-28
4381.5	3.75430938030214e-28
4383	3.74458817398539e-28
4384.5	3.73485101769868e-28
4386	3.72509790280387e-28
4387.5	3.71532882066281e-28
4389	3.70554376263732e-28
4390.5	3.69574272008929e-28
